Metric,Median,Mean,25th,75th,Min,Max
AUC,0.797,0.802,0.794,0.804,0.773,0.844
Precision,0.619,0.602,0.594,0.619,0.556,0.625
Recall,0.652,0.652,0.591,0.682,0.542,0.792
Average Precision,0.674,0.676,0.663,0.678,0.644,0.722
Sensitivity,0.652,0.652,0.591,0.682,0.542,0.792
PPV,0.619,0.652,0.594,0.619,0.556,0.625
NPV,0.841,0.652,0.830,0.846,0.788,0.886
