,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.799689319940487,0.8013230375762346,0.7658333333333334,0.8389983974358974,0.6045454545454545,0.9537037037037037
Accuracy,0.7599189189189189,0.7567567567567568,0.7297297297297297,0.7972972972972973,0.581081081081081,0.8918918918918919
Precision,0.5988541457728744,0.6,0.5357142857142857,0.6666666666666666,0.28,0.8695652173913043
Recall,0.6884198587746869,0.6923076923076923,0.6296296296296297,0.75,0.3684210526315789,1.0
Specificity,0.7918763932478323,0.7931034482758621,0.7551020408163265,0.8297872340425532,0.5625,0.9375
Sensitivity,0.6884198587746869,0.6923076923076923,0.6296296296296297,0.75,0.3684210526315789,1.0
PPV,0.5988541457728744,0.6,0.5357142857142857,0.6666666666666666,0.28,0.8695652173913043
NPV,0.8491070284978804,0.851063829787234,0.8157894736842105,0.8846153846153846,0.6486486486486487,1.0
