,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7843214005312084,0.7879208754208755,0.7438899014696887,0.8258343301435407,0.529795918367347,0.9503968253968254
Accuracy,0.7516891891891891,0.7567567567567568,0.7162162162162162,0.7837837837837838,0.6081081081081081,0.9054054054054054
Precision,0.5943185551606889,0.5925925925925926,0.5238095238095238,0.6666666666666666,0.28,0.9166666666666666
Recall,0.6359813593059871,0.6363636363636364,0.5769230769230769,0.7,0.32,0.96
Specificity,0.8035117346342071,0.803921568627451,0.7659574468085106,0.8431372549019608,0.6041666666666666,0.9824561403508771
Sensitivity,0.6359813593059871,0.6363636363636364,0.5769230769230769,0.7,0.32,0.96
PPV,0.5943185551606889,0.5925925925925926,0.5238095238095238,0.6666666666666666,0.28,0.9166666666666666
NPV,0.8302384135940258,0.8301886792452831,0.8,0.8653846153846154,0.673469387755102,0.9782608695652174
