,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.8070412245037829,0.80818689919746,0.7722448979591837,0.8426210484193677,0.6172506738544474,0.9666666666666667
Accuracy,0.7550945945945946,0.7567567567567568,0.7297297297297297,0.7837837837837838,0.581081081081081,0.8783783783783784
Precision,0.597154862781173,0.5925925925925926,0.5333333333333333,0.6666666666666666,0.3157894736842105,0.9047619047619048
Recall,0.653185313789495,0.6530100334448161,0.5909090909090909,0.7142857142857143,0.36,1.0
Specificity,0.8008094843888797,0.8,0.7647058823529411,0.84,0.5714285714285714,0.9534883720930233
Sensitivity,0.653185313789495,0.6530100334448161,0.5909090909090909,0.7142857142857143,0.36,1.0
PPV,0.597154862781173,0.5925925925925926,0.5333333333333333,0.6666666666666666,0.3157894736842105,0.9047619047619048
NPV,0.8364480938832521,0.8372093023255814,0.8043478260869565,0.8695652173913043,0.6486486486486487,1.0
