,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.797656385480996,0.8008910022207895,0.7599305555555554,0.8348637080020058,0.577717879604672,0.9375561545372866
Accuracy,0.7207702702702703,0.7297297297297297,0.6891891891891891,0.7567567567567568,0.5540540540540541,0.8648648648648649
Precision,0.5362271007600597,0.5333333333333333,0.4838709677419355,0.59375,0.2857142857142857,0.92
Recall,0.7652583226297983,0.7727272727272727,0.7083333333333334,0.821953781512605,0.44,1.0
Specificity,0.700629828184433,0.7037037037037037,0.6595744680851063,0.7413793103448276,0.5,0.9534883720930233
Sensitivity,0.7652583226297983,0.7727272727272727,0.7083333333333334,0.821953781512605,0.44,1.0
PPV,0.5362271007600597,0.5333333333333333,0.4838709677419355,0.59375,0.2857142857142857,0.92
NPV,0.8683434019709415,0.8695652173913043,0.8333333333333334,0.9047619047619048,0.6944444444444444,1.0
