,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.8095673374719097,0.812694099378882,0.7767089697514227,0.8469842657342657,0.6012931034482758,0.9384920634920635
Accuracy,0.7432972972972973,0.7432432432432432,0.7162162162162162,0.7837837837837838,0.581081081081081,0.8918918918918919
Precision,0.5680434953817869,0.5666666666666667,0.5151515151515151,0.625,0.2857142857142857,0.8275862068965517
Recall,0.7221608227541605,0.7241379310344828,0.6666666666666666,0.7894736842105263,0.391304347826087,1.0
Specificity,0.7529944930463722,0.7551020408163265,0.7142857142857143,0.7935455349248453,0.5471698113207547,0.9122807017543859
Sensitivity,0.7221608227541605,0.7241379310344828,0.6666666666666666,0.7894736842105263,0.391304347826087,1.0
PPV,0.5680434953817869,0.5666666666666667,0.5151515151515151,0.625,0.2857142857142857,0.8275862068965517
NPV,0.8576278314384369,0.86,0.8260869565217391,0.8938969764837625,0.6744186046511628,1.0
