,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7919687067750922,0.7959825439609807,0.7523732069275336,0.8339597902097903,0.560344827586207,0.9473684210526315
Accuracy,0.7336621621621622,0.7432432432432432,0.7027027027027027,0.7702702702702703,0.5405405405405406,0.8648648648648649
Precision,0.5530764285164214,0.5517241379310345,0.5,0.6129032258064516,0.2903225806451613,0.7878787878787878
Recall,0.7383033691242112,0.7391304347826086,0.68,0.8016129032258065,0.3888888888888889,1.0
Specificity,0.7315211530589968,0.7340136054421769,0.6923076923076923,0.7755102040816326,0.4444444444444444,0.9
Sensitivity,0.7383033691242112,0.7391304347826086,0.68,0.8016129032258065,0.3888888888888889,1.0
PPV,0.5530764285164214,0.5517241379310345,0.5,0.6129032258064516,0.2903225806451613,0.7878787878787878
NPV,0.8615271075421488,0.8666666666666667,0.8269230769230769,0.8979591836734694,0.6666666666666666,1.0
