,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7091899902352213,0.710072463768116,0.6632106493130475,0.7565277777777777,0.4895104895104895,0.8934356351236147
Accuracy,0.7033783783783784,0.7027027027027027,0.6621621621621622,0.7432432432432432,0.527027027027027,0.8513513513513513
Precision,0.51985990695208,0.52,0.45,0.5882352941176471,0.18181818181818182,0.875
Recall,0.5668359645330973,0.5714285714285714,0.5,0.6470588235294118,0.25,0.8888888888888888
Specificity,0.76472219881011,0.7647058823529411,0.7254901960784313,0.8043478260869565,0.54,0.9591836734693877
Sensitivity,0.5668359645330973,0.5714285714285714,0.5,0.6470588235294118,0.25,0.8888888888888888
PPV,0.51985990695208,0.52,0.45,0.5882352941176471,0.18181818181818182,0.875
NPV,0.7973485670944462,0.8,0.76,0.8372093023255814,0.6274509803921569,0.9555555555555556
