,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9518140301897042,0.9534365571556653,0.9388950527228908,0.9660168966615522,0.8591478696741855,0.993503248375812
Accuracy,0.8929763779527559,0.889763779527559,0.8740157480314961,0.9133858267716536,0.7952755905511811,0.9606299212598425
Precision,0.899817831217469,0.9027777777777778,0.875,0.926062091503268,0.7571428571428571,1.0
Recall,0.9008007412395781,0.9036676977463544,0.8783783783783784,0.9264705882352942,0.7721518987341772,0.9859154929577465
Specificity,0.8839410895826009,0.8872103589277601,0.8548387096774194,0.9124713958810068,0.7446808510638298,1.0
Sensitivity,0.9008007412395781,0.9036676977463544,0.8783783783783784,0.9264705882352942,0.7721518987341772,0.9859154929577465
PPV,0.899817831217469,0.9027777777777778,0.875,0.926062091503268,0.7571428571428571,1.0
NPV,0.8848925680626776,0.8870967741935484,0.8571428571428571,0.9122807017543859,0.7,0.9836065573770492
