,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9506527811803083,0.9524444828344379,0.9375787376301677,0.9646756477353492,0.8719298245614034,0.991948051948052
Accuracy,0.8959842519685041,0.8976377952755905,0.8818897637795275,0.9133858267716536,0.7874015748031497,0.968503937007874
Precision,0.9003466411288514,0.9027777777777778,0.875,0.9264705882352942,0.7571428571428571,0.9859154929577465
Recall,0.9064625534453208,0.9078947368421053,0.8823529411764706,0.9315068493150684,0.7796610169491526,1.0
Specificity,0.8837802974440575,0.8852459016393442,0.8571428571428571,0.9122807017543859,0.7272727272727273,0.9846153846153847
Sensitivity,0.9064625534453208,0.9078947368421053,0.8823529411764706,0.9315068493150684,0.7796610169491526,1.0
PPV,0.9003466411288514,0.9027777777777778,0.875,0.9264705882352942,0.7571428571428571,0.9859154929577465
NPV,0.8908323828360897,0.8928571428571429,0.864406779661017,0.9181164268986284,0.7368421052631579,1.0
