,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9527335083946097,0.9543625498814179,0.9409765809219632,0.9661050205626895,0.8813283208020052,0.9908234126984128
Accuracy,0.8817874015748032,0.8818897637795275,0.8661417322834646,0.905511811023622,0.7795275590551181,0.9606299212598425
Precision,0.8665628442163654,0.868421052631579,0.84,0.8939393939393939,0.7051282051282052,0.9682539682539683
Recall,0.9216232045885494,0.9242424242424242,0.9014084507042254,0.9436619718309859,0.8,1.0
Specificity,0.835814567240731,0.8380365659777425,0.8064516129032258,0.8688524590163934,0.6666666666666666,0.9666666666666667
Sensitivity,0.9216232045885494,0.9242424242424242,0.9014084507042254,0.9436619718309859,0.8,1.0
PPV,0.8665628442163654,0.868421052631579,0.84,0.8939393939393939,0.7051282051282052,0.9682539682539683
NPV,0.9020299543151552,0.9047619047619048,0.875,0.9304330392943063,0.723404255319149,1.0
