,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9530363287726931,0.9537407414317431,0.9421974555667337,0.9653976113447035,0.8892200695479384,0.9935323383084577
Accuracy,0.876220472440945,0.8740157480314961,0.8582677165354331,0.8976377952755905,0.7795275590551181,0.952755905511811
Precision,0.9118556719957319,0.9142857142857143,0.8873239436619719,0.9375,0.7818181818181819,1.0
Recall,0.8517201853426315,0.8529411764705882,0.8235294117647058,0.8805970149253731,0.6825396825396826,0.9696969696969697
Specificity,0.9046594455308868,0.9074074074074074,0.8787878787878788,0.9322033898305084,0.7413793103448276,1.0
Sensitivity,0.8517201853426315,0.8529411764705882,0.8235294117647058,0.8805970149253731,0.6825396825396826,0.9696969696969697
PPV,0.9118556719957319,0.9142857142857143,0.8873239436619719,0.9375,0.7818181818181819,1.0
NPV,0.8405474955430527,0.8412698412698413,0.8103448275862069,0.8714285714285714,0.6984126984126984,0.9666666666666667
