,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9380196732127816,0.9389274923912682,0.9251547627160998,0.9532437139639137,0.849379652605459,0.9890054972513743
Accuracy,0.8690708661417323,0.8661417322834646,0.8503937007874016,0.889763779527559,0.7559055118110236,0.968503937007874
Precision,0.9049525273908547,0.9056603773584906,0.8813559322033898,0.9310344827586207,0.7692307692307693,1.0
Recall,0.8448515394963313,0.8461538461538461,0.8152421652421652,0.875,0.6857142857142857,0.9827586206896551
Specificity,0.89714811842585,0.8983050847457628,0.8703703703703703,0.9243138936535162,0.7692307692307693,1.0
Sensitivity,0.8448515394963313,0.8461538461538461,0.8152421652421652,0.875,0.6857142857142857,0.9827586206896551
PPV,0.9049525273908547,0.9056603773584906,0.8813559322033898,0.9310344827586207,0.7692307692307693,1.0
NPV,0.8330342599455571,0.8333333333333334,0.8,0.8654563719862227,0.6461538461538462,0.9850746268656716
