,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9268128461563567,0.9287148753800449,0.9111940298507464,0.9432993822502714,0.8291139240506329,0.9858420268256334
Accuracy,0.85548031496063,0.8582677165354331,0.8346456692913385,0.8740157480314961,0.7559055118110236,0.9291338582677166
Precision,0.8709133102050416,0.8714285714285714,0.8421052631578947,0.9,0.6724137931034483,0.9736842105263158
Recall,0.8579509083241993,0.8591549295774648,0.8309859154929577,0.8858047016274864,0.71875,0.9696969696969697
Specificity,0.8527640469941825,0.8533333333333334,0.8208955223880597,0.8846153846153846,0.6896551724137931,0.9636363636363636
Sensitivity,0.8579509083241993,0.8591549295774648,0.8309859154929577,0.8858047016274864,0.71875,0.9696969696969697
PPV,0.8709133102050416,0.8714285714285714,0.8421052631578947,0.9,0.6724137931034483,0.9736842105263158
NPV,0.8382614228309813,0.8392857142857143,0.8075236167341431,0.8709677419354839,0.6885245901639344,0.9642857142857143
