,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.966345099851242,0.9681306788449646,0.9579567333610586,0.9763780980940049,0.9122896481387047,0.9962518740629686
Accuracy,0.9004015748031496,0.905511811023622,0.8818897637795275,0.9212598425196851,0.8188976377952756,0.9606299212598425
Precision,0.8788923199584467,0.88,0.8550140252454418,0.9054054054054054,0.7368421052631579,0.9868421052631579
Recall,0.9445793006313739,0.9459459459459459,0.9285714285714286,0.9616601752677703,0.8428571428571429,1.0
Specificity,0.8492305772973249,0.85,0.819672131147541,0.88160518444666,0.6607142857142857,0.9787234042553191
Sensitivity,0.9445793006313739,0.9459459459459459,0.9285714285714286,0.9616601752677703,0.8428571428571429,1.0
PPV,0.8788923199584467,0.88,0.8550140252454418,0.9054054054054054,0.7368421052631579,0.9868421052631579
NPV,0.9295853875111909,0.9310344827586207,0.9090909090909091,0.9523809523809523,0.7906976744186046,1.0
