,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.8199901997782308,0.8229192546583851,0.7860187553282183,0.8553459119496855,0.6307277628032345,0.9563492063492064
Accuracy,0.7594594594594594,0.7567567567567568,0.7297297297297297,0.7972972972972973,0.5945945945945946,0.9054054054054054
Precision,0.5983104852023661,0.6,0.5333333333333333,0.65625,0.32,0.9333333333333333
Recall,0.6923362512851529,0.7,0.625,0.76,0.30434782608695654,1.0
Specificity,0.7895512562817557,0.7924528301886793,0.75,0.8269230769230769,0.5319148936170213,0.9811320754716981
Sensitivity,0.6923362512851529,0.7,0.625,0.76,0.30434782608695654,1.0
PPV,0.5983104852023661,0.6,0.5333333333333333,0.65625,0.32,0.9333333333333333
NPV,0.8502207391331887,0.851063829787234,0.813953488372093,0.8863636363636364,0.6666666666666666,1.0
