,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.8124776719876735,0.8151128249440066,0.7777067348678601,0.8492412319138661,0.5763888888888888,0.9601851851851851
Accuracy,0.7563648648648649,0.7567567567567568,0.7162162162162162,0.7871621621621622,0.581081081081081,0.9324324324324325
Precision,0.603111968225945,0.6,0.5416666666666666,0.6666666666666666,0.2631578947368421,0.8947368421052632
Recall,0.6238362903512386,0.625,0.5555555555555556,0.6956521739130435,0.2727272727272727,0.9444444444444444
Specificity,0.8155972785399683,0.8163265306122449,0.7818181818181819,0.851063829787234,0.6037735849056604,0.9629629629629629
Sensitivity,0.6238362903512386,0.625,0.5555555555555556,0.6956521739130435,0.2727272727272727,0.9444444444444444
PPV,0.603111968225945,0.6,0.5416666666666666,0.6666666666666666,0.2631578947368421,0.8947368421052632
NPV,0.8285449739798528,0.8301886792452831,0.7924528301886793,0.8653846153846154,0.64,0.98
