,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.9666351108885947,0.9677581874697325,0.9579334365325077,0.9764092332839028,0.9062034739454095,1.0
Accuracy,0.9117795275590551,0.9133858267716536,0.8976377952755905,0.9291338582677166,0.8188976377952756,0.984251968503937
Precision,0.896404261677406,0.8978704910908302,0.8714285714285714,0.9230769230769231,0.7763157894736842,0.9863013698630136
Recall,0.9444376950464514,0.9454545454545454,0.925787728026534,0.967741935483871,0.8493150684931506,1.0
Specificity,0.8742343978413932,0.8771929824561403,0.84375,0.90625,0.7258064516129032,0.9821428571428571
Sensitivity,0.9444376950464514,0.9454545454545454,0.925787728026534,0.967741935483871,0.8493150684931506,1.0
PPV,0.896404261677406,0.8978704910908302,0.8714285714285714,0.9230769230769231,0.7763157894736842,0.9863013698630136
NPV,0.9315286974283715,0.9333333333333333,0.9090909090909091,0.96,0.8076923076923077,1.0
