,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.6015308213272331,0.6018518518518519,0.5505930306905371,0.653720238095238,0.37084398976982097,0.8328840970350404
Accuracy,0.545,0.5405405405405406,0.5,0.581081081081081,0.36486486486486486,0.7162162162162162
Precision,0.360627971470174,0.3617021276595745,0.3090659340659341,0.4117647058823529,0.11764705882352941,0.5789473684210527
Recall,0.6042304773687107,0.6035714285714285,0.5384615384615384,0.6666666666666666,0.25,0.9
Specificity,0.518550881874874,0.5188746438746439,0.47058823529411764,0.5686274509803921,0.28,0.7090909090909091
Sensitivity,0.6042304773687107,0.6035714285714285,0.5384615384615384,0.6666666666666666,0.25,0.9
PPV,0.360627971470174,0.3617021276595745,0.3090659340659341,0.4117647058823529,0.11764705882352941,0.5789473684210527
NPV,0.7447425271002807,0.7473404255319149,0.696969696969697,0.7941176470588235,0.4864864864864865,0.9473684210526315
