,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.5793358876117496,0.6,0.4,0.8,0.0,1.0
Accuracy,0.5379310344827586,0.5,0.3333333333333333,0.6666666666666666,0.0,1.0
Precision,0.6863218390804596,0.7083333333333333,0.5,1.0,0.0,1.0
Recall,0.5267816091954023,0.5,0.3333333333333333,0.75,0.0,1.0
Specificity,0.5577394636015326,0.5,0.25,1.0,0.0,1.0
Sensitivity,0.5267816091954023,0.5,0.3333333333333333,0.75,0.0,1.0
PPV,0.6863218390804596,0.7083333333333333,0.5,1.0,0.0,1.0
NPV,0.3777777777777777,0.3333333333333333,0.2,0.5,0.0,1.0
