,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.707338489108622,0.7065900383141762,0.6651752852410747,0.7548132460531382,0.4654731457800511,0.9213286713286712
Accuracy,0.5567162162162163,0.5540540540540541,0.5135135135135135,0.5945945945945946,0.3918918918918919,0.7567567567567568
Precision,0.3937623226278657,0.391304347826087,0.34615384615384615,0.44680851063829785,0.17073170731707318,0.6578947368421053
Recall,0.7858654109918135,0.7916666666666666,0.7307692307692307,0.8461538461538461,0.4166666666666667,1.0
Specificity,0.45269032157407946,0.4528301886792453,0.4074074074074074,0.5,0.24,0.7045454545454546
Sensitivity,0.7858654109918135,0.7916666666666666,0.7307692307692307,0.8461538461538461,0.4166666666666667,1.0
PPV,0.3937623226278657,0.391304347826087,0.34615384615384615,0.44680851063829785,0.17073170731707318,0.6578947368421053
NPV,0.824824991752901,0.8333333333333334,0.782608695652174,0.8709677419354839,0.5789473684210527,1.0
