,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.794192550800197,0.796734693877551,0.7570744039744833,0.8308391608391608,0.5579514824797843,0.9505840071877808
Accuracy,0.772972972972973,0.7702702702702703,0.7432432432432432,0.8108108108108109,0.6216216216216216,0.9324324324324325
Precision,0.6414947270993571,0.65,0.5766317016317016,0.7064950980392157,0.29411764705882354,0.9523809523809523
Recall,0.6181840556240793,0.6190476190476191,0.5512931034482759,0.6842105263157895,0.2631578947368421,0.8823529411764706
Specificity,0.8429671815804505,0.8461538461538461,0.8110767729342876,0.88,0.6190476190476191,0.9803921568627451
Sensitivity,0.6181840556240793,0.6190476190476191,0.5512931034482759,0.6842105263157895,0.2631578947368421,0.8823529411764706
PPV,0.6414947270993571,0.65,0.5766317016317016,0.7064950980392157,0.29411764705882354,0.9523809523809523
NPV,0.829798280690313,0.8363636363636363,0.7959183673469388,0.8636363636363636,0.6727272727272727,0.9607843137254902
