,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7840907847816099,0.7868751618751619,0.7446204836829837,0.8248940677966102,0.5444897959183674,0.9513888888888888
Accuracy,0.7548513513513514,0.7567567567567568,0.7162162162162162,0.7837837837837838,0.6216216216216216,0.9054054054054054
Precision,0.5998946864747777,0.6,0.5328125,0.6666666666666666,0.2916666666666667,0.9166666666666666
Recall,0.6359813593059871,0.6363636363636364,0.5769230769230769,0.7,0.32,0.96
Specificity,0.8080929675651694,0.8085106382978723,0.7735849056603774,0.8461538461538461,0.6041666666666666,0.9824561403508771
Sensitivity,0.6359813593059871,0.6363636363636364,0.5769230769230769,0.7,0.32,0.96
PPV,0.5998946864747777,0.6,0.5328125,0.6666666666666666,0.2916666666666667,0.9166666666666666
NPV,0.8310324321822591,0.8301886792452831,0.8,0.8653846153846154,0.6923076923076923,0.9787234042553191
