,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7959234453112792,0.7998423955870765,0.7620325854700855,0.833832624129112,0.5743534482758621,0.9437340153452686
Accuracy,0.7224864864864865,0.7297297297297297,0.6891891891891891,0.7567567567567568,0.5540540540540541,0.8648648648648649
Precision,0.5415278739507824,0.5416666666666666,0.4827586206896552,0.6,0.25806451612903225,0.8214285714285714
Recall,0.6872157421559681,0.6842105263157895,0.6190476190476191,0.76,0.38095238095238093,0.9615384615384616
Specificity,0.7384117264842768,0.7446808510638298,0.6981132075471698,0.78,0.46296296296296297,0.896551724137931
Sensitivity,0.6872157421559681,0.6842105263157895,0.6190476190476191,0.76,0.38095238095238093,0.9615384615384616
PPV,0.5415278739507824,0.5416666666666666,0.4827586206896552,0.6,0.25806451612903225,0.8214285714285714
NPV,0.8399137114216201,0.8444444444444444,0.8043478260869565,0.8775510204081632,0.627906976744186,0.9795918367346939
