,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7797572004354401,0.7852607298362015,0.7459814517912428,0.8189849521946979,0.5674603174603174,0.9329205366357068
Accuracy,0.7050810810810811,0.7027027027027027,0.6756756756756757,0.7432432432432432,0.5,0.8648648648648649
Precision,0.5187378572501189,0.5172413793103449,0.46153846153846156,0.5769230769230769,0.23809523809523808,0.7692307692307693
Recall,0.6580709828839376,0.6666666666666666,0.5925925925925926,0.7272727272727273,0.2777777777777778,0.9523809523809523
Specificity,0.725989568293938,0.7307692307692307,0.6888888888888889,0.7659574468085106,0.5111111111111111,0.8775510204081632
Sensitivity,0.6580709828839376,0.6666666666666666,0.5925925925925926,0.7272727272727273,0.2777777777777778,0.9523809523809523
PPV,0.5187378572501189,0.5172413793103449,0.46153846153846156,0.5769230769230769,0.23809523809523808,0.7692307692307693
NPV,0.8255490550757467,0.8277472527472527,0.7916666666666666,0.8653846153846154,0.6052631578947368,0.975609756097561
