,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.8083137574419729,0.8099254294421416,0.7753496503496503,0.8452797202797203,0.6012931034482759,0.9462915601023018
Accuracy,0.708081081081081,0.7027027027027027,0.6756756756756757,0.7432432432432432,0.5675675675675675,0.8783783783783784
Precision,0.5203085119922858,0.5172413793103449,0.4666666666666667,0.5757575757575758,0.25,0.7777777777777778
Recall,0.7555495798051227,0.76,0.7,0.8181818181818182,0.391304347826087,1.0
Specificity,0.6866798761526823,0.6887067395264117,0.6444444444444445,0.7307692307692307,0.4716981132075472,0.9272727272727272
Sensitivity,0.7555495798051227,0.76,0.7,0.8181818181818182,0.391304347826087,1.0
PPV,0.5203085119922858,0.5172413793103449,0.4666666666666667,0.5757575757575758,0.25,0.7777777777777778
NPV,0.8622494905333505,0.8648648648648649,0.8285714285714286,0.9,0.6744186046511628,1.0
