,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.7929655325673071,0.7974460612483356,0.7539106047937569,0.8356825466200466,0.5560344827586208,0.9494324045407636
Accuracy,0.722945945945946,0.7297297297297297,0.6891891891891891,0.7567567567567568,0.5540540540540541,0.8513513513513513
Precision,0.5394925187556032,0.5384615384615384,0.4827586206896552,0.6,0.28,0.782608695652174
Recall,0.729673348891675,0.7307692307692307,0.6666666666666666,0.7948275862068965,0.3888888888888889,1.0
Specificity,0.7198857959672826,0.7222222222222222,0.68,0.7647058823529411,0.46296296296296297,0.9
Sensitivity,0.729673348891675,0.7307692307692307,0.6666666666666666,0.7948275862068965,0.3888888888888889,1.0
PPV,0.5394925187556032,0.5384615384615384,0.4827586206896552,0.6,0.28,0.782608695652174
NPV,0.8556694443625573,0.8604651162790697,0.8205128205128205,0.8918918918918919,0.6590909090909091,1.0
