,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.807756252805347,0.8094821844821845,0.7723757506589495,0.8428099349749494,0.6228571428571429,0.9703703703703703
Accuracy,0.752527027027027,0.7567567567567568,0.7162162162162162,0.7837837837837838,0.6081081081081081,0.918918918918919
Precision,0.595725572362463,0.6,0.5238095238095238,0.6666666666666666,0.3181818181818182,0.8636363636363636
Recall,0.6361617304561552,0.6363636363636364,0.5769230769230769,0.7037037037037037,0.32,0.9523809523809523
Specificity,0.8047836942201938,0.8076923076923077,0.7678571428571429,0.8421052631578947,0.6190476190476191,0.9473684210526315
Sensitivity,0.6361617304561552,0.6363636363636364,0.5769230769230769,0.7037037037037037,0.32,0.9523809523809523
PPV,0.595725572362463,0.6,0.5238095238095238,0.6666666666666666,0.3181818181818182,0.8636363636363636
NPV,0.8303989993295684,0.8301886792452831,0.7962962962962963,0.8653846153846154,0.6666666666666666,0.9777777777777777
