,Mean,Median,25th Percentile,75th Percentile,Min,Max
AUC,0.648588761174968,0.75,0.40937500000000004,1.0,0.0,1.0
Accuracy,0.7239463601532569,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,1.0
Precision,0.7576245210727969,0.8,0.6,1.0,0.0,1.0
Recall,0.8637547892720306,1.0,0.75,1.0,0.0,1.0
Specificity,0.45097701149425284,0.5,0.0,1.0,0.0,1.0
Sensitivity,0.8637547892720306,1.0,0.75,1.0,0.0,1.0
PPV,0.7576245210727969,0.8,0.6,1.0,0.0,1.0
NPV,0.5315134099616858,0.5,0.0,1.0,0.0,1.0
