,Feature name,Optimal AUC @ 50%,Above threshold
618,log-sigma-1-0-mm-3D_firstorder_Entropy,0.8563670920445289,1
619,wavelet-LLH_glcm_JointAverage,0.8563636363636364,0
620,wavelet-LLH_glcm_SumAverage,0.8563636363636364,0
621,log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.8562666666666666,1
622,wavelet-HHL_glcm_SumSquares,0.8562313331523215,0
623,log-sigma-4-0-mm-3D_glcm_DifferenceVariance,0.8562313331523215,1
624,original_glcm_ClusterTendency,0.8561808561808562,1
625,wavelet-LLH_firstorder_Variance,0.8561500131130344,1
626,wavelet-HLH_firstorder_InterquartileRange,0.8561481481481481,0
627,wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.8561481481481481,0
628,wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.8561307113938692,1
629,original_firstorder_Range,0.8560927339553294,0
630,original_glszm_GrayLevelNonUniformityNormalized,0.8560175619834711,0
631,wavelet-LHH_glcm_DifferenceAverage,0.8560175619834711,0
632,original_glrlm_LongRunHighGrayLevelEmphasis,0.8559999999999999,0
633,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.855944055944056,1
634,wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.8559440559440559,1
635,wavelet-LHH_firstorder_Uniformity,0.8559423769507803,1
636,wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.855917667238422,1
637,wavelet-LLL_gldm_SmallDependenceEmphasis,0.8558963511369646,1
638,log-sigma-2-0-mm-3D_glcm_SumEntropy,0.8558666666666666,1
639,wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.8558023146700031,1
640,wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.8557923169267707,0
641,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8557641459545214,0
642,wavelet-LLH_glcm_Idmn,0.8557213930348258,0
643,wavelet-HHH_glcm_Idmn,0.8556792309638249,1
644,wavelet-HHH_glcm_Idn,0.8556792309638249,1
645,original_firstorder_RobustMeanAbsoluteDeviation,0.8556751467710372,1
646,wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.8556643356643356,0
647,log-sigma-3-0-mm-3D_glcm_JointEntropy,0.8556319407720783,1
648,wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.8556317895940537,0
649,log-sigma-1-0-mm-3D_ngtdm_Complexity,0.8556317895940537,0
650,wavelet-LLL_glcm_Correlation,0.8555045871559632,1
651,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.8554888507718696,0
652,wavelet-LLH_glszm_SmallAreaEmphasis,0.8553859202714166,0
653,wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.8550420168067226,0
654,log-sigma-5-0-mm-3D_glcm_Idm,0.8550095031224545,0
655,log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.8549890350877192,1
656,wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.8549629629629629,0
657,wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.8549170954831332,1
658,wavelet-LLH_gldm_LargeDependenceEmphasis,0.8548717948717949,1
659,log-sigma-5-0-mm-3D_firstorder_Minimum,0.8548560667204735,1
660,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.8548553719008265,1
661,wavelet-HLH_glcm_ClusterTendency,0.8547149122807016,1
662,wavelet-HLL_glcm_JointEnergy,0.8547075383171724,1
663,original_glrlm_ShortRunLowGrayLevelEmphasis,0.8547075383171723,1
664,log-sigma-1-0-mm-3D_glcm_SumEntropy,0.854574299312533,1
665,wavelet-LHH_firstorder_Range,0.8544708029197081,0
666,wavelet-LHH_glcm_InverseVariance,0.8543098889476468,0
667,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.8542550183771558,1
668,wavelet-HLL_glcm_DifferenceAverage,0.8542222222222222,0
669,wavelet-HLL_firstorder_Mean,0.8541949497692098,0
670,log-sigma-5-0-mm-3D_glcm_DifferenceAverage,0.8541949497692098,1
671,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.8541666666666666,1
672,log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.8540805785123966,0
673,wavelet-HHL_glcm_ClusterTendency,0.8540296052631579,0
674,wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.8539915966386554,0
675,log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.8539618276460381,1
676,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.8539165237278444,0
677,log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.8538666666666667,0
678,wavelet-HLH_glszm_ZonePercentage,0.8538415366146459,1
679,log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.8538205980066447,1
680,wavelet-HHH_firstorder_10Percentile,0.8538205980066446,1
681,wavelet-LLL_glcm_Contrast,0.85376008326828,1
682,wavelet-LHH_gldm_GrayLevelVariance,0.8536914765906362,0
683,log-sigma-4-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.8535161553081727,1
684,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.8534813596491229,0
685,log-sigma-2-0-mm-3D_glcm_JointAverage,0.8534813596491229,0
686,log-sigma-2-0-mm-3D_glcm_SumAverage,0.8534813596491229,0
687,log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.8534813596491229,0
688,log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8534666666666666,0
689,wavelet-HHH_ngtdm_Contrast,0.8533333333333334,0
690,wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.8533333333333334,0
691,wavelet-LLH_gldm_HighGrayLevelEmphasis,0.8532867132867132,0
692,wavelet-LHH_glszm_GrayLevelVariance,0.8532542579075426,0
693,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.8532072368421052,0
694,log-sigma-3-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.853201829616924,0
695,log-sigma-3-0-mm-3D_glcm_SumSquares,0.8531095498308613,1
696,log-sigma-3-0-mm-3D_ngtdm_Strength,0.8530912364945978,1
697,original_glcm_JointEntropy,0.8530434782608697,1
698,wavelet-LLL_glcm_Idm,0.8530230204907665,0
699,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.8529728275490988,1
700,log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.8528671328671329,0
701,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.8528671328671329,0
702,wavelet-HHL_firstorder_Median,0.8528556319407721,1
703,wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.8526666666666667,0
704,wavelet-HLH_firstorder_10Percentile,0.8525925925925926,1
705,wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.8525925925925926,0
706,wavelet-LHH_glcm_ClusterProminence,0.8525891230809264,1
707,wavelet-HHL_glszm_ZonePercentage,0.8525874125874127,0
708,wavelet-LLH_glcm_Autocorrelation,0.8525874125874126,0
709,log-sigma-1-0-mm-3D_firstorder_Uniformity,0.8524590163934427,0
710,log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.8524590163934426,1
711,wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.8524475524475524,0
712,wavelet-HLL_glrlm_ShortRunEmphasis,0.8524444444444443,0
713,wavelet-HHL_glcm_ClusterProminence,0.8524347592144202,0
714,log-sigma-5-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.8524173027989821,0
715,wavelet-HLH_glrlm_GrayLevelVariance,0.8523713128976287,1
716,log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,0.8523289097059589,1
717,wavelet-HHH_firstorder_InterquartileRange,0.8523076923076923,0
718,log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.8523076923076923,1
719,original_glszm_LowGrayLevelZoneEmphasis,0.8522972556275055,1
720,wavelet-LLH_ngtdm_Contrast,0.8522095405326309,1
721,log-sigma-1-0-mm-3D_firstorder_Variance,0.8521988030184751,1
722,wavelet-LHH_glrlm_RunPercentage,0.8521481481481481,1
723,wavelet-HLL_glcm_DifferenceEntropy,0.8521481481481481,0
724,log-sigma-1-0-mm-3D_ngtdm_Contrast,0.8521481481481481,1
725,wavelet-HLH_firstorder_Variance,0.852134577325417,0
726,original_shape_Flatness,0.8520849724626278,0
727,wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.8519932145886344,0
728,log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8519168861574481,1
729,log-sigma-5-0-mm-3D_glcm_DifferenceEntropy,0.8518966908797417,1
730,wavelet-HLL_glcm_JointEntropy,0.8518907563025209,0
731,wavelet-HHL_ngtdm_Contrast,0.8518853305785125,1
732,wavelet-LHL_glcm_InverseVariance,0.8518853305785123,0
733,log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.8518666666666667,1
734,log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.8518518518518519,1
735,wavelet-LLL_glcm_Id,0.8517581583607388,0
736,wavelet-LHH_glcm_JointEnergy,0.851751289709476,1
737,wavelet-HLL_glszm_ZoneEntropy,0.8516995614035087,1
738,wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.8516483516483516,0
739,original_firstorder_Uniformity,0.8516417189763399,0
740,log-sigma-1-0-mm-3D_glcm_Idmn,0.8516242317822651,0
741,wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.851581508515815,1
742,original_glcm_JointEnergy,0.8515166340508806,0
743,log-sigma-4-0-mm-3D_glcm_JointEnergy,0.8514931396287329,0
744,wavelet-HLH_ngtdm_Complexity,0.8514797719250611,0
745,log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,0.8514666666666667,0
746,original_firstorder_Kurtosis,0.8514285714285714,0
747,log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.8514277636415041,0
748,wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.8512905162064826,1
749,wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.8512145748987854,1
750,log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.8512145748987854,1
751,wavelet-LLL_glcm_DifferenceVariance,0.8510666666666667,1
752,wavelet-LLH_firstorder_10Percentile,0.8509814049586776,0
753,wavelet-LHH_firstorder_Entropy,0.8509732360097323,0
754,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.8509148084619783,1
755,wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.8509148084619783,0
756,log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.8508974358974359,1
757,log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,0.8508205542103847,0
758,original_glcm_MCC,0.8507736690270129,1
759,wavelet-LLL_glcm_DifferenceEntropy,0.8507692307692308,1
760,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.8507554733271663,1
761,log-sigma-5-0-mm-3D_gldm_GrayLevelVariance,0.8506666666666667,1
762,wavelet-HLH_firstorder_90Percentile,0.8506666666666666,0
763,wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.8506293706293706,0
764,original_glszm_SmallAreaHighGrayLevelEmphasis,0.850390156062425,0
765,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.8503703703703703,0
766,wavelet-LLL_gldm_LargeDependenceEmphasis,0.8502673796791443,0
767,log-sigma-2-0-mm-3D_glcm_JointEntropy,0.8502666666666666,1
768,wavelet-HLL_firstorder_Uniformity,0.850212895377129,1
769,wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.850212895377129,1
770,wavelet-LLL_glcm_MaximumProbability,0.850135903138127,0
771,log-sigma-4-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8501221830029867,0
772,wavelet-HHL_glcm_Idn,0.8501170960187354,0
773,wavelet-LHL_glcm_ClusterTendency,0.8501170960187353,1
774,wavelet-LLL_glrlm_LongRunEmphasis,0.8501138375917026,0
775,wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.8500900360144057,0
776,log-sigma-1-0-mm-3D_firstorder_10Percentile,0.8500774793388429,0
777,log-sigma-1-0-mm-3D_glcm_MCC,0.850013451708367,0
778,wavelet-LLL_glcm_DifferenceAverage,0.8500127323656735,1
